Id,rating
5_788,2.5
68_7438,4.0
336_40412,4.0
803_3822,5.0
547_903,4.0
514_5379,3.5
367_190939,3.5
345_3007,2.5
468_5782,3.5
441_2908,2.0
30_5459,3.0
865_2114,3.5
379_25750,3.5
754_231,3.5
986_852,2.5
973_4963,4.0
860_830,2.0
541_5349,3.5
155_112,3.5
166_2470,1.0
548_114246,4.0
756_45722,3.0
848_2001,3.5
253_318,4.5
441_5377,3.5
240_2002,3.0
532_333,3.5
12_1196,4.5
217_2402,4.0
947_80463,5.0
770_288,3.0
12_1212,4.0
927_2959,4.0
477_1921,4.0
983_1079,5.0
803_1247,4.0
648_152025,3.5
541_8665,4.0
535_3044,4.0
861_912,4.0
204_4973,4.0
132_4223,5.0
772_1591,1.0
997_84312,3.5
729_1198,4.0
97_1204,4.0
59_2139,4.0
31_2640,3.5
901_59126,4.0
321_10,3.5
125_2169,5.0
851_224,3.5
132_2858,5.0
859_288,1.5
175_3286,1.5
846_5433,3.5
608_68954,4.0
860_2553,2.5
858_5172,3.5
920_75,3.5
622_592,3.5
927_2901,3.0
187_4679,4.0
469_45501,1.5
714_49284,3.5
632_44022,3.0
23_2112,1.0
738_8958,4.0
426_5669,4.0
284_31878,4.0
847_1513,5.0
548_144586,4.0
648_3448,3.5
538_59333,3.5
150_6383,3.0
440_5620,1.0
522_5618,4.0
489_72998,1.0
598_3578,5.0
164_6874,1.5
846_1245,4.0
902_357,4.0
997_3991,2.5
120_2737,2.0
445_2208,3.5
517_7153,4.0
891_58,3.5
572_6377,5.0
548_383,2.0
176_441,3.5
572_1374,5.0
3_63072,5.0
57_8974,3.0
224_8874,4.0
997_163771,3.5
435_1500,4.0
519_509,4.0
830_420,2.5
648_7458,3.5
187_4270,3.0
75_2528,4.0
23_232,4.5
446_1060,5.0
906_102125,3.5
801_2360,4.0
875_208,2.5
935_47997,3.5
606_60126,4.0
983_6378,5.0
147_1193,4.0
575_72167,3.5
992_542,3.0
831_58559,4.0
917_2288,1.5
414_47,1.5
823_431,4.0
226_4228,4.0
187_87222,3.5
572_1499,5.0
858_3535,4.0
876_3355,3.5
695_1005,1.0
861_861,3.0
628_96417,3.5
113_72226,4.0
765_317,3.0
848_7143,4.0
57_33171,3.5
772_736,1.0
647_4720,3.5
828_1947,4.0
527_60684,3.5
997_59725,3.0
983_150,5.0
828_3074,3.0
896_66934,4.0
904_5501,3.5
460_2959,4.0
871_142488,1.5
548_45517,2.0
919_2789,2.0
515_933,1.5
72_1250,3.5
904_8972,3.5
626_1127,3.0
296_1233,4.0
626_6993,3.0
612_2019,4.5
983_74530,5.0
702_166461,3.0
653_1235,1.0
894_4018,3.0
983_1171,5.0
847_2975,5.0
426_49272,4.0
757_3174,3.0
307_1485,3.5
714_8798,4.0
927_1464,5.0
495_1270,4.0
538_4014,4.0
714_34336,3.0
396_237,3.0
548_81782,2.0
821_1347,1.0
69_6377,4.0
982_329,3.5
847_3973,4.0
803_8963,3.5
997_7154,3.0
66_4643,2.5
731_596,3.0
655_440,3.5
72_3543,4.0
541_588,3.5
847_166486,4.0
41_1912,2.0
201_2427,3.0
185_2683,3.0
533_595,3.5
300_597,3.5
803_1238,3.5
107_2064,4.0
626_6596,3.0
927_1620,2.5
847_94978,4.0
221_1097,4.0
741_60397,1.5
987_56367,4.0
597_500,1.0
748_217,1.0
551_33493,3.0
548_142871,4.0
175_4023,1.5
12_2137,5.0
561_1892,3.5
55_7361,4.0
138_1242,2.0
519_2300,5.0
705_7153,4.0
220_2762,4.0
322_647,4.0
847_4914,5.0
459_647,4.0
824_2028,4.0
985_252,3.5
459_329,3.5
120_2797,1.0
626_2890,3.0
12_3254,2.0
756_1625,4.0
548_135991,4.0
190_1665,2.0
606_4343,4.5
450_82638,3.5
472_3481,4.0
805_1100,2.0
834_788,2.5
61_1269,5.0
567_2000,4.0
626_30816,3.0
847_1164,4.0
343_6773,3.5
187_72641,3.5
19_90522,3.0
426_26729,4.0
416_344,3.0
619_3793,3.5
695_2808,3.5
675_5481,3.0
828_661,4.0
906_52604,3.0
436_1148,4.0
859_81158,4.5
541_174055,4.0
705_95510,3.5
855_1446,4.5
241_50,4.0
192_2087,4.0
986_2952,3.5
213_904,4.5
59_2396,4.0
960_6953,1.0
226_949,4.0
889_818,3.5
610_4226,4.0
159_32587,4.0
278_480,4.0
243_88785,3.5
805_2737,3.5
381_3526,3.0
213_659,3.0
374_631,3.0
567_5060,3.5
997_595,3.5
489_2028,1.0
653_5096,3.5
489_63072,1.0
709_34162,5.0
277_950,3.5
942_1020,3.0
876_3158,3.5
626_42738,3.0
756_1876,3.0
431_216,3.5
357_2716,3.5
973_179401,4.0
794_1089,4.0
294_116887,3.5
396_2106,3.5
765_160,2.5
876_1265,4.0
167_457,4.0
648_1262,4.5
858_2064,4.0
860_1975,2.0
270_1036,4.0
632_2087,4.0
847_55687,4.0
859_2596,4.5
756_44199,4.0
901_750,4.0
343_1356,3.5
89_1200,1.5
613_7445,3.5
548_8614,2.0
472_2161,3.5
416_3108,4.0
822_6874,4.0
787_61470,3.5
626_2316,3.0
901_152591,3.5
59_3598,4.0
357_4105,4.0
388_64969,3.0
697_48,3.5
860_316,2.0
396_25,3.5
997_125932,3.5
104_2916,3.5
294_136564,3.5
947_1198,5.0
284_63082,4.0
704_1704,4.0
3_94677,5.0
857_111,3.5
695_1196,4.5
187_73870,3.5
36_1304,4.0
512_260,4.0
62_45447,3.0
601_1304,4.0
23_3071,3.5
187_79132,4.5
164_4993,1.5
840_159,4.5
414_780,1.5
865_4115,3.5
993_7254,3.5
523_2951,4.0
504_9004,3.5
803_2788,4.0
626_6452,3.0
440_5577,1.0
924_2329,4.0
902_261,4.0
864_595,3.0
697_4844,3.0
925_849,3.0
864_20,3.0
569_661,4.0
159_2340,3.5
261_2858,4.0
414_39,1.5
598_30793,5.0
836_2356,1.0
977_1876,3.0
982_364,4.0
208_160291,3.5
477_2112,1.0
322_79,3.5
216_3510,3.5
963_1876,3.0
19_673,2.5
939_1126,5.0
928_74789,3.0
571_73881,3.5
450_99841,3.5
919_2692,4.0
847_68237,5.0
166_3062,1.0
915_161,3.5
429_5418,4.0
422_798,1.0
722_2078,5.0
243_85022,3.5
50_780,3.5
23_589,4.0
171_6979,3.5
548_55209,4.0
948_969,4.5
551_3519,3.5
917_230,1.5
519_10,3.5
858_6870,3.5
805_2817,3.5
280_3408,3.0
891_2313,4.5
653_5944,1.0
3_3751,5.0
375_2571,4.0
865_4463,3.5
13_78469,1.0
886_2028,4.0
181_94959,4.0
541_107410,3.5
548_144260,4.0
741_76077,3.5
450_3683,3.0
927_198,2.5
770_3396,4.0
924_63992,1.5
569_2628,3.0
803_8917,4.0
707_3745,2.0
572_1053,5.0
925_345,3.5
859_529,1.5
734_25,3.5
897_5146,3.5
695_1257,3.5
930_487,3.5
548_144282,4.0
846_5528,4.0
355_4720,3.5
98_134853,4.0
566_1265,4.0
224_4306,3.5
151_4973,4.0
983_2701,5.0
767_481,3.5
431_3556,3.0
304_104,3.5
426_4957,2.5
117_1777,3.0
442_1265,4.0
705_112556,3.5
848_1084,4.0
924_2763,3.5
372_141,4.0
462_316,3.5
997_43396,4.0
695_1321,3.0
658_2762,4.0
896_524,3.5
828_1943,3.5
169_4027,4.0
793_4638,2.5
938_2012,3.5
983_3081,5.0
597_1425,4.5
548_113035,4.0
139_2959,1.0
757_2513,3.0
648_1258,4.0
608_3000,4.0
983_41997,5.0
997_139879,3.5
695_442,3.0
672_4361,3.5
171_3052,4.0
1000_1196,4.5
541_95510,3.5
658_4979,3.0
954_1704,4.0
64_112290,3.5
964_1527,3.5
891_1779,3.0
626_4613,3.0
426_74458,4.0
740_5995,3.5
828_2877,3.0
187_6264,2.5
687_8368,4.0
906_78349,4.0
109_3504,4.0
395_5957,3.0
548_2889,2.0
846_4498,3.0
606_2949,4.5
331_337,4.0
338_588,3.5
489_4262,1.0
561_2174,3.5
446_2161,5.0
692_338,3.0
803_4242,3.5
62_37382,3.5
244_1296,3.5
175_1498,2.0
522_3949,4.0
805_2010,3.0
134_4018,3.0
82_4292,1.5
635_4963,4.0
275_76093,3.5
722_5618,5.0
395_1271,4.0
709_1923,5.0
102_1257,3.5
648_99114,4.0
983_6,5.0
900_586,3.0
966_104,3.5
171_875,3.5
294_4975,3.5
601_1101,3.0
434_47,4.0
847_4000,4.0
757_2908,2.0
40_110,4.0
510_66097,3.5
406_3967,3.5
43_339,5.0
259_1198,4.0
572_1240,5.0
459_207,3.5
583_19,2.0
357_2160,4.0
561_32,3.5
450_39941,3.5
997_74946,4.0
683_661,4.0
949_4388,3.0
781_88785,3.5
450_127256,3.5
892_257,2.5
323_2692,4.0
284_39183,4.0
857_919,3.0
132_1247,5.0
431_151,3.5
614_4326,4.0
450_66665,3.5
757_303,2.0
217_6857,3.5
519_2746,3.5
832_55814,2.5
653_4980,1.0
548_106916,2.0
93_293,4.0
768_45722,3.0
567_4873,3.0
248_78637,4.5
901_1227,4.5
841_3614,4.0
768_5444,4.5
897_1220,4.0
606_126548,4.5
611_3445,3.5
318_1639,3.0
21_60072,3.5
418_6365,1.0
764_1036,4.0
993_77837,3.5
407_785,3.0
751_316,3.5
707_2846,2.0
580_168,3.0
322_5957,3.0
882_34,4.0
909_1204,4.0
983_253,5.0
547_4881,2.5
860_3676,2.0
871_57368,1.5
12_2542,4.0
713_106002,4.0
1_899,1.5
567_1320,3.0
822_110591,3.5
431_2683,3.0
906_122906,3.5
224_6874,4.0
859_2664,1.5
805_2091,3.5
544_2431,1.0
897_708,3.5
798_5816,4.0
775_73017,3.5
983_59738,4.0
708_2719,3.0
544_5066,1.0
697_5591,3.5
183_315,3.0
478_48780,4.0
187_176601,3.5
690_3364,3.5
59_3448,3.5
296_89804,3.5
132_3467,5.0
406_136864,1.0
846_5771,3.5
75_151,3.5
829_5296,1.5
494_4232,2.5
52_2642,2.0
561_2011,3.5
653_3708,3.5
120_919,1.0
975_3160,4.0
859_1717,1.5
472_339,3.5
303_3793,3.5
222_785,3.0
694_2746,3.5
439_26776,1.5
828_2657,3.0
220_91104,3.0
18_253,3.0
845_1200,4.0
574_2699,2.5
647_66934,4.0
803_29,4.5
440_8970,1.0
803_6882,3.5
565_435,5.0
343_5782,3.5
210_4976,3.5
489_4007,1.0
80_3662,2.0
548_53326,4.0
481_96821,3.5
754_10,3.5
103_290,4.0
78_4308,3.5
434_260,4.0
644_318,4.5
630_1005,1.0
986_1360,3.5
912_72998,5.0
3_86880,5.0
734_4306,3.5
266_31658,5.0
647_8874,4.0
174_4027,4.0
981_1680,1.5
531_1291,4.0
695_1326,2.0
832_539,3.5
206_224,3.5
567_4993,4.0
734_1220,4.0
498_356,4.0
240_3438,3.5
532_437,3.0
810_4912,4.0
948_3551,4.0
132_1633,5.0
587_1680,1.5
19_55167,3.5
847_4815,5.0
477_34,4.0
795_4734,4.5
161_6,4.0
696_2605,2.5
846_2424,3.0
322_540,2.5
246_48394,4.0
321_4558,2.5
325_100,3.0
896_6539,3.5
489_169760,5.0
894_1220,4.0
477_1833,3.0
997_344,3.0
572_1287,5.0
84_1221,5.0
768_44199,4.0
294_2875,3.5
364_55269,4.0
224_54286,4.0
175_2541,1.5
987_1212,4.0
958_318,4.5
497_2078,4.0
146_41566,3.5
431_1959,4.0
28_316,3.5
302_5816,4.0
997_177651,3.5
548_4169,4.0
578_527,4.0
468_1036,4.0
741_293,4.0
321_3826,2.0
430_296,4.0
801_6214,4.0
961_1965,4.5
446_1483,5.0
208_8983,4.0
905_3359,4.0
757_8368,4.0
739_4367,2.5
13_1196,1.0
72_2791,3.5
675_114662,2.5
72_2505,3.5
272_1912,3.0
40_38061,4.0
648_102800,5.0
565_736,5.0
72_1285,3.0
43_1183,5.0
284_8666,3.0
653_1032,1.0
626_8725,3.0
505_81020,3.5
548_6197,4.0
830_316,3.5
44_68237,3.5
439_68319,1.5
920_880,2.0
72_3160,4.0
734_2791,3.5
712_8371,1.5
477_2706,3.0
43_32,5.0
861_1086,3.5
951_4886,4.0
613_1527,3.5
747_593,4.5
823_586,3.0
710_111,3.5
626_5073,3.0
626_37386,3.0
548_2115,2.0
266_1276,4.0
450_2710,3.0
426_110882,4.0
927_2428,2.5
431_6874,4.0
400_1088,3.5
410_1276,4.0
626_435,3.0
674_54190,3.5
942_648,3.5
958_497,4.5
171_2273,3.5
435_3101,3.0
313_2797,3.5
80_3452,5.0
475_122906,3.5
572_5500,5.0
810_2863,4.0
186_588,3.5
757_5290,3.5
144_3698,3.5
801_167370,2.5
859_3451,1.5
858_1288,4.0
82_850,4.5
499_1580,3.5
101_31410,1.0
847_193944,4.0
626_421,3.0
390_30707,4.0
925_52,3.5
181_71135,4.0
573_2571,4.0
552_1722,3.5
845_8874,4.0
538_5617,4.0
548_3113,2.0
705_6157,3.0
175_3264,1.5
939_3175,5.0
647_122912,3.0
871_90888,1.5
697_1411,4.0
561_799,4.0
344_172,3.0
858_474,4.0
301_7254,3.5
859_30707,1.5
514_31364,3.5
502_586,3.0
388_1198,4.0
449_2628,5.0
561_784,3.0
220_2125,3.0
943_50872,3.5
271_4993,4.0
62_8983,4.0
721_1214,3.5
120_838,1.0
929_111,3.5
547_3760,4.0
810_3360,3.5
906_47,4.0
29_64034,4.0
571_5989,4.0
939_47,5.0
98_6863,3.0
895_480,4.0
737_68954,4.0
335_143347,3.5
705_161582,3.5
861_318,4.5
